Название,Примерный год создания/публикации
Загоскин “Москва и москвичи”,1850
"Толстой “Война и мир”


Том 1.
Часть 1: глава 7–21
Часть 3: глава 7
Том 2. 
Часть 1: глава 1–6, 10–16
Часть 3: глава 8
Часть 5: глава 2–22
Том 3. 
Часть 1: глава 16–23
Часть 2: глава 17–18
Часть 3: глава 10–29, 33–34
Том 4.
Часть 1: глава 8–13
Часть 2: глава 8–14
Часть 4: глава 15–18, 20
 Эпилог: 
 Часть 1: глава 5–6",1860
Ремизов “Пруд”,1910
Зайцев “Дальний край”,1915
Булгаков “Собачье сердце”,1925
Гиляровский “Москва и москвичи”,1926
Андрей Белый “Москва”,1928
Осоргин “Сивцев Вражек”,1928
Булгаков “Мастер и Маргарита”,1930
Шмелев ”Лето господне”,1930
А. Платонов “Счастливая Москва”,1930
Куприн “Юнкера”,1930
Шмелев “Богомолье”,1931
Леонов “Пирамида”,1940
Бунин “Темные аллеи”,1945
Пастернак “Доктор Живаго”,1950
Драгунский “Денискины рассказы”,1959
Солженицын “В круге первом”,1968
Трифонов “Дом на набережной”,1976
Владимир Орлов “Альтист Данилов”,1980
Анатолий Рыбаков “Дети Арбата”,1987
Братья Вайнеры “Эра милосердия”,1991
Аксенов “Московская сага”,1991
Маринина “Стечение обстоятельств”,1997
Маринина “Игра на чужом поле”,1997
Лукьяненко “Ночной Дозор”,1998
Пелевин “Generation П”,1999
Устинова “Пороки и их поклонники”,2002
Устинова “Пять шагов по облакам”,2005
Устинова “Я — судья. Божий дар”,2010
Устинова “Я — судья. Кредит доверчивости”,2012
"Устинова “Один день, одна ночь”",2012
Устинова “Сто лет пути”,2014
"Устинова “Чудны дела твои, Господи!”",2015
Маринина “Дорога”,2017
